maintenance_id,date,store_id,maintenance_type,description,downtime_hours,cost_mmk,parts_replaced,next_service_date,technician,generator_hours_at_service,status
MNT-2026-0046,2025-11-21,RC-008,SCHEDULED,Coolant flush + belt inspection,2.0,486132,"Coolant 10L, Thermostat, Hoses",2026-03-01,Delta Power Solutions,4195,COMPLETED
MNT-2026-0047,2026-03-06,RC-008,EMERGENCY,Starter motor replacement,15.7,675895,"Radiator patch kit, Coolant 20L",2026-06-28,U Than Win - PowerGen Services,4786,COMPLETED
MNT-2026-0048,2025-12-17,RC-009,EMERGENCY,Starter motor replacement,21.0,1049293,"Radiator patch kit, Coolant 20L",2026-03-11,Delta Power Solutions,6208,COMPLETED
MNT-2026-0049,2025-10-02,RC-010,INSPECTION,Pre-monsoon readiness check,0.0,70033,,2026-01-03,Yangon Generator Maintenance,6001,COMPLETED
MNT-2026-0050,2025-11-21,RC-010,SCHEDULED,Annual comprehensive service,3.9,480292,"Coolant 10L, Thermostat, Hoses",2026-03-16,Yangon Generator Maintenance,6478,COMPLETED
MNT-2026-0051,2026-03-11,RC-010,INSPECTION,Inspection - minor oil leak noted,0.0,86498,,2026-06-21,Generator Myanmar Co.,7060,COMPLETED
MNT-2026-0052,2026-02-03,FB-001,SCHEDULED,Annual comprehensive service,1.4,596286,"Fuel filter, Oil filter, V-belt",2026-04-22,U Than Win - PowerGen Services,5063,COMPLETED
MNT-2026-0053,2026-02-23,FB-001,INSPECTION,Routine inspection - all OK,0.0,86697,,2026-05-19,U Than Win - PowerGen Services,5469,COMPLETED
MNT-2026-0054,2026-03-10,FB-002,SCHEDULED,Coolant flush + belt inspection,1.0,448020,"Coolant 10L, Thermostat, Hoses",2026-07-01,Delta Power Solutions,2830,COMPLETED
MNT-2026-0055,2025-12-01,FB-003,SCHEDULED,Coolant flush + belt inspection,1.8,595324,"Air filter, Spark plugs x4",2026-02-12,Generator Myanmar Co.,4584,COMPLETED
MNT-2026-0056,2026-03-08,FB-003,EMERGENCY,Fuel injector failure - replaced,12.7,615559,Alternator assembly,2026-06-12,Yangon Generator Maintenance,4997,COMPLETED
MNT-2026-0057,2026-03-09,FB-004,SCHEDULED,Annual comprehensive service,2.2,516214,"Air filter, Spark plugs x4",2026-05-17,Delta Power Solutions,3292,COMPLETED
MNT-2026-0058,2025-12-12,FB-005,EMERGENCY,Radiator leak - patched and refilled,17.1,1269072,"Starter motor, Solenoid",2026-04-06,Delta Power Solutions,4443,COMPLETED
MNT-2026-0059,2026-02-01,FB-005,EMERGENCY,Starter motor replacement,19.7,1077502,"Radiator patch kit, Coolant 20L",2026-05-14,Ko Htun Htun - Freelance,4769,COMPLETED
MNT-2026-0060,2025-11-29,FR-001,SCHEDULED,Oil change + air filter replacement,3.8,534992,"Coolant 10L, Thermostat, Hoses",2026-03-01,Generator Myanmar Co.,3047,COMPLETED
MNT-2026-0061,2025-12-09,FR-001,INSPECTION,Inspection - minor oil leak noted,0.0,147994,,2026-04-04,Ko Htun Htun - Freelance,3361,COMPLETED
MNT-2026-0062,2025-11-08,FR-002,SCHEDULED,Oil change + air filter replacement,3.9,449573,"Air filter, Spark plugs x4",2026-01-26,U Than Win - PowerGen Services,5204,COMPLETED
MNT-2026-0063,2026-01-16,FR-002,SCHEDULED,500-hour service interval,3.1,459260,"Air filter, Spark plugs x4",2026-05-02,Generator Myanmar Co.,5671,COMPLETED
MNT-2026-0064,2025-11-05,FR-003,EMERGENCY,Starter motor replacement,10.1,1725490,"Starter motor, Solenoid",2026-01-15,Ko Htun Htun - Freelance,3934,COMPLETED
MNT-2026-0065,2025-11-30,FR-003,EMERGENCY,Starter motor replacement,12.5,890598,Alternator assembly,2026-03-25,Delta Power Solutions,4512,COMPLETED
MNT-2026-0066,2025-12-10,FR-003,SCHEDULED,Annual comprehensive service,1.7,525897,"Air filter, Spark plugs x4",2026-03-19,U Than Win - PowerGen Services,4979,COMPLETED
MNT-2026-0067,2025-12-08,FR-004,SCHEDULED,Annual comprehensive service,1.8,538960,"Coolant 10L, Thermostat, Hoses",2026-03-17,Generator Myanmar Co.,5345,COMPLETED
MNT-2026-0068,2025-12-28,FR-004,SCHEDULED,Coolant flush + belt inspection,1.3,231251,"Fuel filter, Oil filter, V-belt",2026-04-16,Ko Htun Htun - Freelance,5628,COMPLETED
MNT-2026-0069,2026-01-08,FR-004,SCHEDULED,500-hour service interval,1.8,597552,"Oil filter, Air filter, Engine oil 15L",2026-05-02,Yangon Generator Maintenance,5921,COMPLETED
MNT-2026-0070,2025-10-24,FR-005,SCHEDULED,Annual comprehensive service,3.8,217267,"Fuel filter, Oil filter, V-belt",2026-02-08,Ko Htun Htun - Freelance,4180,COMPLETED
MNT-2026-0071,2025-11-24,FR-005,INSPECTION,Routine inspection - all OK,0.0,78115,,2026-01-27,Ko Htun Htun - Freelance,4696,COMPLETED
MNT-2026-0072,2025-10-26,FV-001,EMERGENCY,Alternator failure - rewound,4.2,825616,"Fuel injector x2, Gasket set",2026-01-23,Generator Myanmar Co.,4464,COMPLETED
MNT-2026-0073,2025-11-11,FV-001,INSPECTION,Inspection - minor oil leak noted,0.0,53532,,2026-02-25,Yangon Generator Maintenance,4771,COMPLETED
MNT-2026-0074,2025-11-20,FV-001,INSPECTION,Routine inspection - all OK,0.0,54825,,2026-03-13,U Than Win - PowerGen Services,5141,COMPLETED
MNT-2026-0075,2025-11-13,FV-002,SCHEDULED,Annual comprehensive service,1.4,546287,"Air filter, Spark plugs x4",2026-02-12,Ko Htun Htun - Freelance,5393,COMPLETED
MNT-2026-0076,2025-11-19,FV-002,INSPECTION,Inspection - minor oil leak noted,0.0,121294,,2026-02-12,Delta Power Solutions,5690,COMPLETED
MNT-2026-0077,2026-02-18,FV-002,EMERGENCY,Battery failure - replaced,23.5,1241548,"Fuel injector x2, Gasket set",2026-06-02,Generator Myanmar Co.,6191,COMPLETED
MNT-2026-0078,2025-11-22,FV-003,INSPECTION,Pre-monsoon readiness check,0.0,64189,,2026-03-09,U Than Win - PowerGen Services,4763,COMPLETED
MNT-2026-0079,2025-12-26,FV-003,INSPECTION,Pre-monsoon readiness check,0.0,69855,,2026-04-01,U Than Win - PowerGen Services,5142,COMPLETED
MNT-2026-0080,2026-01-21,FV-003,SCHEDULED,Annual comprehensive service,2.2,379704,"Oil filter, Air filter, Engine oil 15L",2026-05-05,U Than Win - PowerGen Services,5672,COMPLETED
MNT-2026-0081,2026-03-18,FV-004,EMERGENCY,Battery failure - replaced,15.4,680361,Alternator assembly,2026-07-04,U Than Win - PowerGen Services,4531,COMPLETED
MNT-2026-0082,2025-11-28,FV-005,SCHEDULED,Oil change + air filter replacement,3.1,334261,"Fuel filter, Oil filter, V-belt",2026-02-15,Delta Power Solutions,4542,COMPLETED
MNT-2026-0083,2025-11-30,FV-005,SCHEDULED,Oil change + air filter replacement,1.9,426614,"Oil filter, Air filter, Engine oil 15L",2026-03-04,Ko Htun Htun - Freelance,4862,COMPLETED
MNT-2026-0084,2026-02-08,FV-005,SCHEDULED,Annual comprehensive service,1.3,333751,"Coolant 10L, Thermostat, Hoses",2026-05-19,Generator Myanmar Co.,5274,COMPLETED
MNT-2026-0085,2025-10-16,DW-001,EMERGENCY,Fuel injector failure - replaced,15.7,1427981,Alternator assembly,2025-12-27,Yangon Generator Maintenance,3419,COMPLETED
MNT-2026-0086,2025-11-26,DW-001,SCHEDULED,500-hour service interval,1.4,351079,"Coolant 10L, Thermostat, Hoses",2026-03-07,U Than Win - PowerGen Services,3836,COMPLETED
MNT-2026-0087,2025-11-28,DW-001,SCHEDULED,Oil change + air filter replacement,2.3,272945,"Oil filter, Air filter, Engine oil 15L",2026-03-19,Yangon Generator Maintenance,4193,COMPLETED
MNT-2026-0088,2025-11-01,DW-002,EMERGENCY,Fuel injector failure - replaced,19.3,988916,"Radiator patch kit, Coolant 20L",2026-01-05,Yangon Generator Maintenance,3797,COMPLETED
MNT-2026-0089,2026-01-01,DW-002,SCHEDULED,500-hour service interval,1.0,325389,"Oil filter, Air filter, Engine oil 15L",2026-03-26,Generator Myanmar Co.,4223,COMPLETED
MNT-2026-0090,2026-03-19,DW-003,SCHEDULED,Annual comprehensive service,2.9,269998,"Air filter, Spark plugs x4",2026-06-09,Yangon Generator Maintenance,4436,COMPLETED
MNT-2026-0091,2025-10-17,DC-001,SCHEDULED,500-hour service interval,2.4,325173,"Coolant 10L, Thermostat, Hoses",2026-01-14,Yangon Generator Maintenance,3668,COMPLETED
MNT-2026-0092,2026-03-11,DC-001,SCHEDULED,500-hour service interval,3.8,452855,"Coolant 10L, Thermostat, Hoses",2026-05-27,Ko Htun Htun - Freelance,4148,COMPLETED
MNT-2026-0093,2025-12-02,DC-002,INSPECTION,Routine inspection - all OK,0.0,50115,,2026-03-09,Generator Myanmar Co.,2900,COMPLETED
MNT-2026-0094,2026-02-19,DC-002,SCHEDULED,Coolant flush + belt inspection,3.2,208344,"Oil filter, Air filter, Engine oil 15L",2026-05-31,Ko Htun Htun - Freelance,3168,COMPLETED
MNT-2026-0095,2026-03-27,DC-003,SCHEDULED,Coolant flush + belt inspection,3.1,439680,"Oil filter, Air filter, Engine oil 15L",2026-06-20,Delta Power Solutions,4441,SCHEDULED
MNT-2026-0096,2025-12-08,DL-001,SCHEDULED,Annual comprehensive service,2.3,296792,"Air filter, Spark plugs x4",2026-02-17,Generator Myanmar Co.,5385,COMPLETED
MNT-2026-0097,2026-03-28,DL-001,SCHEDULED,Coolant flush + belt inspection,1.9,564617,"Coolant 10L, Thermostat, Hoses",2026-07-08,Generator Myanmar Co.,5979,SCHEDULED
MNT-2026-0098,2025-12-04,DL-002,INSPECTION,Pre-monsoon readiness check,0.0,138247,,2026-04-02,Ko Htun Htun - Freelance,3351,COMPLETED
MNT-2026-0099,2025-10-08,PM-001,INSPECTION,Pre-monsoon readiness check,0.0,96215,,2026-01-13,U Than Win - PowerGen Services,4676,COMPLETED
MNT-2026-0100,2025-10-14,PM-001,SCHEDULED,Annual comprehensive service,3.3,460824,"Oil filter, Air filter, Engine oil 15L",2026-02-04,Ko Htun Htun - Freelance,5273,COMPLETED
MNT-2026-0101,2025-12-10,PM-001,SCHEDULED,Coolant flush + belt inspection,3.0,221035,"Oil filter, Air filter, Engine oil 15L",2026-02-19,Delta Power Solutions,5494,COMPLETED
MNT-2026-0102,2026-02-02,PM-002,SCHEDULED,Coolant flush + belt inspection,3.3,395871,"Coolant 10L, Thermostat, Hoses",2026-05-27,Yangon Generator Maintenance,3871,COMPLETED
MNT-2026-0103,2025-10-15,PM-003,SCHEDULED,Oil change + air filter replacement,1.5,295214,"Fuel filter, Oil filter, V-belt",2026-02-04,Generator Myanmar Co.,5966,COMPLETED
MNT-2026-0104,2025-11-23,PM-003,INSPECTION,Routine inspection - all OK,0.0,134047,,2026-03-12,Generator Myanmar Co.,6523,COMPLETED
MNT-2026-0105,2025-11-19,PM-004,SCHEDULED,Annual comprehensive service,2.2,387986,"Coolant 10L, Thermostat, Hoses",2026-03-13,Delta Power Solutions,5858,COMPLETED
MNT-2026-0106,2025-11-25,PM-004,SCHEDULED,Oil change + air filter replacement,3.9,476609,"Fuel filter, Oil filter, V-belt",2026-03-22,Generator Myanmar Co.,6394,COMPLETED
MNT-2026-0107,2026-02-13,PM-004,SCHEDULED,Coolant flush + belt inspection,1.9,306957,"Coolant 10L, Thermostat, Hoses",2026-05-01,U Than Win - PowerGen Services,6682,COMPLETED
MNT-2026-0108,2025-10-21,PO-001,EMERGENCY,Radiator leak - patched and refilled,14.9,908675,Alternator assembly,2026-01-19,U Than Win - PowerGen Services,2937,COMPLETED
MNT-2026-0109,2026-02-22,PO-002,SCHEDULED,Annual comprehensive service,1.4,336515,"Coolant 10L, Thermostat, Hoses",2026-04-28,Yangon Generator Maintenance,3503,COMPLETED
MNT-2026-0110,2025-12-16,PO-003,SCHEDULED,Annual comprehensive service,1.9,243786,"Oil filter, Air filter, Engine oil 15L",2026-03-15,Delta Power Solutions,3050,COMPLETED
MNT-2026-0111,2026-01-17,PO-003,SCHEDULED,Annual comprehensive service,2.4,459966,"Coolant 10L, Thermostat, Hoses",2026-05-08,Ko Htun Htun - Freelance,3590,COMPLETED
